S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
38,DDBL,,41.58,996.00,"1,003.00",980.00,981.00,988.07,"12,991.00",996.00,"12,836,044.30",241,-15.00,23.00,-1.51,2.35,-0.72,980.75,985.46,"1,360.00",861.00,
39,DHPL,,50.13,250.00,257.00,245.00,245.00,250.01,"16,993.00",250.00,"4,248,413.50",115,-5.00,12.00,-2.00,4.90,-2.04,196.84,204.84,381.40,160.10,
40,DLBS,,44.77,"1,352.00","1,375.00","1,351.20","1,360.00","1,360.81","1,875.00","1,376.00","2,551,527.30",141,-16.00,23.80,-1.16,1.76,-0.06,0.00,0.00,"1,662.00",177.70,
41,DORDI,,49.51,295.10,312.10,295.00,303.00,302.99,"18,425.00",299.50,"5,582,500.50",415,3.50,17.10,1.17,5.80,0.00,282.58,0.00,408.00,217.00,
42,EBL,,44.40,510.00,536.00,507.10,518.00,515.74,"33,985.00",510.00,"17,527,479.80",179,8.00,28.90,1.57,5.70,0.44,493.03,483.91,632.00,411.00,
43,EDBL,,44.65,360.00,375.10,360.00,368.90,370.03,"19,809.00",367.00,"7,329,894.30",82,1.90,15.10,0.52,4.19,-0.31,331.45,343.57,600.00,291.20,
44,EHPL,,44.05,398.00,428.90,391.10,405.00,400.48,"8,689.00",405.00,"3,479,732.80",348,0.00,37.80,0.00,9.67,1.12,0.00,0.00,440.00,216.00,
45,ENL,,46.99,703.80,720.00,691.00,701.00,708.11,"2,119.00",718.00,"1,500,493.50",49,-17.00,29.00,-2.37,4.20,-1.01,652.00,669.76,"1,481.90",287.10,
46,FMDBL,,40.15,688.00,699.00,681.50,685.10,688.70,"13,796.00",694.00,"9,501,322.30",130,-8.90,17.50,-1.28,2.57,-0.53,682.06,675.29,989.00,559.00,
47,FOWAD,,49.71,"1,901.00","1,918.00","1,900.00","1,905.00","1,909.54","4,144.00","1,915.00","7,913,133.20",110,-10.00,18.00,-0.52,0.95,-0.24,"2,526.08","2,463.45","2,950.00","1,892.00",
48,GBBL,,58.35,381.00,390.00,381.00,385.00,385.64,"29,500.00",386.00,"11,376,398.90",204,-1.00,9.00,-0.26,2.36,-0.17,384.35,383.65,625.00,318.00,
49,GBD80/81,,38.46,969.20,969.20,969.20,969.20,969.20,10.00,988.90,"9,692.00",1,-19.70,0.00,-1.99,0.00,0.00,993.02,"1,014.04","1,009.00",920.00,
50,GBLBS,,39.73,675.00,680.00,667.00,667.00,672.30,"5,525.00",681.00,"3,714,470.50",91,-14.00,13.00,-2.06,1.95,-0.79,672.04,704.14,"1,120.00",566.00,
51,GFCL,,41.46,512.00,515.00,502.00,503.00,506.61,"10,437.00",512.00,"5,287,441.40",76,-9.00,13.00,-1.76,2.59,-0.72,485.48,469.30,735.00,358.00,
